game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,CHI,AWAY,CONFIRMED,"['Tre Jones', 'Kevin Huerter', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']","['Z. Collins', 'J. Giddey', 'Coby White', 'Caris LeVert', 'D. Robinson', 'Javonte Green', 'R. Holland', 'Paul Reed']",8,1,Tre Jones,Kevin Huerter,Isaac Okoro,Matas Buzelis,N. Vucevic
,DET,HOME,EXPECTED,"['Caris LeVert', 'D. Robinson', 'Javonte Green', 'R. Holland', 'Paul Reed']","['C. Cunningham', 'J. Duren', 'T. Harris', 'Jaden Ivey', 'M. Sasser', 'I. Stewart', 'A. Thompson', 'Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'P. Banchero', 'W. Carter']",12,0,Caris LeVert,D. Robinson,Javonte Green,R. Holland,Paul Reed
,ORL,AWAY,CONFIRMED,"['Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'P. Banchero', 'W. Carter']","['M. Wagner', 'Jalen Brunson', 'Mikal Bridges', 'OG Anunoby', 'K. Towns', 'M. Robinson']",6,1,Jalen Suggs,Desmond Bane,Franz Wagner,P. Banchero,W. Carter
,NYK,HOME,CONFIRMED,"['Jalen Brunson', 'Mikal Bridges', 'OG Anunoby', 'K. Towns', 'M. Robinson']","['Ryan Rollins', 'AJ Green', 'Gary Trent', 'Kyle Kuzma', 'Myles Turner']",5,1,Jalen Brunson,Mikal Bridges,OG Anunoby,K. Towns,M. Robinson
,MIL,AWAY,CONFIRMED,"['Ryan Rollins', 'AJ Green', 'Gary Trent', 'Kyle Kuzma', 'Myles Turner']","['G. Antetokounmpo', 'K. Porter', 'T. Prince', 'Collin Sexton', 'Sion James', 'Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner']",8,1,Ryan Rollins,AJ Green,Gary Trent,Kyle Kuzma,Myles Turner
,CHA,HOME,CONFIRMED,"['Collin Sexton', 'Sion James', 'Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner']","['L. Ball', 'Josh Green', 'B. Miller', 'G. Williams', 'Cam Spencer', 'K. Caldwell-Pope', 'Jaylen Wells', 'Jaren Jackson', 'Jock Landale']",9,1,Collin Sexton,Sion James,Kon Knueppel,Miles Bridges,R. Kalkbrenner
,MEM,AWAY,EXPECTED,"['Cam Spencer', 'K. Caldwell-Pope', 'Jaylen Wells', 'Jaren Jackson', 'Jock Landale']","['B. Clarke', 'Zach Edey', 'Ty Jerome', 'Ja Morant', 'S. Pippen', 'J. Small', 'Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Josh Minott', 'Neemias Queta']",11,0,Cam Spencer,K. Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale
,BOS,HOME,EXPECTED,"['Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Josh Minott', 'Neemias Queta']","['J. Tatum', 'Lonzo Ball', 'Sam Merrill', 'D. Hunter', 'Dean Wade', 'Jarrett Allen']",6,0,Derrick White,P. Pritchard,Jaylen Brown,Josh Minott,Neemias Queta
,CLE,AWAY,EXPECTED,"['Lonzo Ball', 'Sam Merrill', 'D. Hunter', 'Dean Wade', 'Jarrett Allen']","['L. Nance', 'D. Garland', 'D. Mitchell', 'E. Mobley', 'Max Strus', 'J. Tyson', 'D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', ""Kel'el Ware""]",11,0,Lonzo Ball,Sam Merrill,D. Hunter,Dean Wade,Jarrett Allen
,MIA,HOME,EXPECTED,"['D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', ""Kel'el Ware""]","['B. Adebayo', 'T. Herro', 'T. Rozier', 'Jrue Holiday', 'S. Sharpe', 'T. Camara', 'Deni Avdija', 'D. Clingan']",8,0,D. Mitchell,Norman Powell,Pelle Larsson,A. Wiggins,Kel'el Ware
