Player,Pos,Team,CR,Enhanced_Projection,Role
C. Miller-mcintyre,G,,12.4,185.45688415297965,Active
N. Hifi,G,,14.0,262.6521213240658,CAPTAIN
F. Petrusev,F,,15.3,254.68588054016445,Active
E. Osmani,F,,9.0,131.3960596385902,Active
D. Motiejunas,C,,7.6,87.64667683918695,Active
L. Birutis,C,,6.3,77.55332856546661,Active
A. Obst,G,,8.2,146.35645437149086,Substitute
S. Herrera,G,,5.7,77.24394630173472,Substitute
I. Mike,F,,9.4,146.42724826206037,Substitute
T. Luwawu-cabarrot,F,,12.0,208.32506989705425,Substitute
