Player,Pos,Team,CR,Enhanced_Projection,Role
C. Miller-mcintyre,G,,12.4,185.12617411520137,Active
N. Hifi,G,,14.0,267.67625886400333,CAPTAIN
T. Luwawu-cabarrot,F,,12.0,209.06761277634206,Active
E. Osmani,F,,9.0,131.4670326051631,Active
I. Mike,F,,9.4,146.3469083707451,Active
L. Birutis,C,,6.3,77.99837657367154,Active
S. Herrera,G,,5.7,76.63365415768861,Substitute
A. Obst,G,,8.2,147.11628840861252,Substitute
F. Petrusev,F,,15.3,256.27577236695083,Substitute
D. Motiejunas,C,,7.6,88.00228461739697,Substitute
