Player,Pos,Team,CR,Enhanced_Projection,Role
S. Herrera,G,,5.7,77.24394630173472,Active
N. Hifi,G,,14.0,262.6521213240658,CAPTAIN
W. Baldwin Iv,G,,12.0,184.77065489672154,Active
I. Mike,F,,9.4,146.42724826206037,Active
F. Petrusev,F,,15.3,254.68588054016445,Active
K. Diop,C,,5.6,45.62509046428405,Active
T. Dorsey,G,,11.5,177.48046170047053,Substitute
A. Obst,G,,8.2,146.35645437149086,Substitute
T. Luwawu-cabarrot,F,,12.0,208.32506989705425,Substitute
L. Birutis,C,,6.3,77.55332856546661,Substitute
